"SYMBOL 
","ISSUE PRICE 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE ","52W H 
","52W L 
","30D   %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"SGBNV29VII","-","-","-","-","6,225.74","6,225.00","-0.74","-0.01","-","-","6,500.00","5,151.00",-0.39,"03-Mar-2023","18.49","02-Feb-2024"
"SGBJAN29IX","-","6,232.02","6,232.02","6,232.02","6,232.87","6,232.02","-0.85","-0.01","40","2,49,280.80","6,373.89","5,231.11",0.22,"03-Mar-2023","18.72","02-Feb-2024"
"SGBFEB27","3,276.00","-","-","-","6,240.63","6,240.01","-0.62","-0.01","-","-","6,435.90","5,293.00",-0.93,"03-Mar-2023","16.73","01-Feb-2024"
"SGBMAR24","2,916.00","-","-","-","6,342.00","6,340.00","-2.00","-0.03","-","-","6,423.09","5,490.00",1.53,"03-Mar-2023","14.27","02-Feb-2024"
"SGBAUG30","-","-","-","-","6,213.20","6,211.01","-2.19","-0.04","-","-","6,568.70","5,260.00",-1.72,"03-Mar-2023","17.86","02-Feb-2024"
"SGBSEP31II","-","-","-","-","6,282.35","6,280.00","-2.35","-0.04","-","-","6,475.00","5,813.00",-0.43,"-","-","02-Feb-2024"
"SGBJUL29IV","-","-","-","-","6,218.97","6,216.00","-2.97","-0.05","-","-","6,369.95","5,230.00",-0.12,"03-Mar-2023","18.47","02-Feb-2024"
"SGBMAY29I","-","-","-","-","6,227.25","6,221.03","-6.22","-0.10","-","-","6,389.00","5,250.00",-0.12,"03-Mar-2023","18.61","02-Feb-2024"
"SGBJUN30","-","-","-","-","6,232.50","6,220.00","-12.50","-0.20","-","-","6,467.99","5,267.00",0.31,"03-Mar-2023","18.13","02-Feb-2024"
"SGBJAN27","3,164.00","-","-","-","6,260.27","6,237.51","-22.76","-0.36","-","-","6,478.00","5,256.11",0.16,"01-Mar-2023","16.05","02-Feb-2024"
"SGBJUL27","-","-","-","-","6,234.67","6,212.06","-22.61","-0.36","-","-","6,350.00","5,232.01",0.07,"03-Mar-2023","18.71","01-Feb-2024"
"SGBAUG27","-","-","-","-","6,359.17","6,300.00","-59.17","-0.93","-","-","6,556.65","5,300.00",1.1,"03-Mar-2023","18.42","02-Feb-2024"
